finish,finish_base,surface_rate,r2,rmse,mae,mape,data_count
Deburred,1.4175628134139433,0.005923640133223745,0.9993379452189298,0.004618802225232415,0.0042667206353467465,0.25426098481082005,135
Matte Black Powder Coat,4.5568418065837335,0.04875857285445191,0.9993736275080227,0.0650778368293354,0.06126741875306606,0.7707917612763882,135
