part_name,part_number,quantity,material_type,material_grade,material_thickness,finish,cut_len_in,num_cuts,mat_use_sqin,sheet_area_sqin,surf_area_sqin,volume_in3,length_in,thickness,source_file,part_id,price_per_part
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.04,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p040_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,59.8
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.05,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.71
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.05,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,26.95
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.05,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,62.57
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.46
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,33.81
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.05,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p050_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,72.29
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.05,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p050_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.25
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.05,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p050_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,25.12
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.05,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p050_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,60.73
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.063,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p063_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.84
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.063,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p063_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,28.18
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.063,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p063_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,63.72
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.58
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,35.04
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.063,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p063_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,73.44
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.063,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p063_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.38
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.063,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p063_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,26.35
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.063,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p063_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,61.88
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.08,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p080_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,16.95
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.08,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p080_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,29.37
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.08,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p080_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,64.91
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.69
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,36.23
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.08,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p080_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,74.63
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.08,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p080_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.49
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.08,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p080_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,27.54
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.08,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p080_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,63.07
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.09,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p090_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,17.01
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.09,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p090_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,30.08
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.09,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p090_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,65.61
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.76
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,36.93
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.09,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p090_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,75.33
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.09,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p090_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.56
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.09,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p090_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,28.24
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.09,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p090_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,63.77
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.1,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p100_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,17.11
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.1,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p100_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,31.04
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.1,Deburred,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p100_Deburred.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,66.51
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,20.86
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,37.9
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.1,Matte Black Powder Coat,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p100_Matte_Black_Powder_Coat.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,76.23
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.1,No Deburring,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p100_No_Deburring.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,15.66
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.1,No Deburring,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p100_No_Deburring.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,29.21
Part 8,25-09-951-310,1,Aluminum,5052-H32,0.1,No Deburring,134.12899780273438,161,70.82599639892578,63.93899917602539,144.64500427246094,7.992000102996826,16.062999725341797,0.125,Aluminum_5052_H32_0p100_No_Deburring.json,part_335lzQlfFG2HuqDzPUz9AxhFkha,64.67
Part 9,25-09-083-035,1,Aluminum,5052-H32,0.125,Deburred,23.56599998474121,21,6.564000129699707,5.586999893188477,14.119000434875488,0.6980000138282776,3.4149999618530273,0.125,Aluminum_5052_H32_0p125_Deburred.json,part_335lzP77xQz5zcM2TgXmU7ec1xx,17.41
Part 7,25-09-719-699,1,Aluminum,5052-H32,0.125,Deburred,178.02999877929688,40,70.82599639892578,30.315000534057617,82.88300323486328,3.7890000343322754,16.062999725341797,0.125,Aluminum_5052_H32_0p125_Deburred.json,part_335lzTrYmR2EiPWiK59j1lxxuMP,33.4
