material_type,material_grade,material_base,material_rate,cut_count_rate,r2,rmse,mae,mape,data_count
Aluminum,5052-H32,7.980930589581825,1.8885850346587112,0.2793875712488331,0.9918468079917094,2.0600105920046814,1.680214135281008,5.047679976558291,33
Aluminum,6061-T6,6.695461176714606,2.671866147740181,0.2634761566117354,0.9808066751969134,4.041956515458996,3.2429039476785197,9.466749366568523,33
Aluminum,7075-T6,7.608748037971795,2.961266635968834,0.26118773820516106,0.9929450331835906,2.6515369964944697,2.1899659878545226,6.2589419231594485,6
Galvanized Steel,G90,8.68873574263586,1.6205351224179596,0.293506902964528,0.9999953178399341,0.04360749926393296,0.03475729431729234,0.10235678634181744,9
Stainless Steel,304-2B,8.38768557673775,2.9908144140316866,0.2855683689597327,0.9990464210027282,0.8574775019990405,0.7207105212462143,2.019984704531664,24
Steel,1008,8.520505940741364,1.6656160484150244,0.2907594623892218,0.9995509120729958,0.4669389378217521,0.3931389710029414,1.333036845529554,21
Steel,A36,5.4864782380154,2.7396857537726462,0.2706260014567475,0.9625241981823707,9.13679360587764,8.219882605250064,14.321786096117867,9
